host_total_listings_count,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
1.0,7,6,37.766927640180796,-122.431024584391,0,1,2.0,1.0,1.0,1.0,0,3.0,118.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,130.0
2.0,22,2,37.7346056641421,-122.46861543744006,0,0,2.0,1.0,1.0,2.0,0,3.0,65.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,130.0
1.0,26,18,37.79940577078549,-122.44298403042951,0,0,2.0,1.0,1.0,0.0,0,5.0,37.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,295.0
1.0,0,0,37.76992365545059,-122.43054651992628,0,0,2.0,1.0,1.0,1.0,0,10.0,15.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0
3.0,5,4,37.75722738249251,-122.4018185811122,1,0,6.0,2.0,3.0,3.0,0,4.0,22.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,395.0
1.0,0,0,37.76973800347754,-122.43232693028177,0,0,3.0,1.0,2.0,2.0,0,5.0,26.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,295.0
2.0,18,10,37.78523646844706,-122.47627598387736,0,0,6.0,1.0,2.0,3.0,0,3.0,320.0,94.0,9.0,9.0,10.0,10.0,9.0,9.0,190.0
1.0,7,6,37.762900816905024,-122.43551384981708,1,0,2.0,1.0,1.0,1.0,0,3.0,171.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,250.0
1.0,1,1,37.73539660395385,-122.4179517812039,1,0,2.0,1.0,1.0,1.0,0,2.0,19.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,120.0
68.0,6,5,37.78729381989861,-122.40943663089523,0,0,4.0,1.0,0.0,2.0,0,1.0,167.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,180.0
3.0,1,1,37.73884990961261,-122.41742959117424,1,0,6.0,1.0,2.0,4.0,0,7.0,4.0,100.0,10.0,9.0,10.0,10.0,9.0,10.0,200.0
2.0,4,12,37.76907821184396,-122.42031988076657,0,1,2.0,1.0,1.0,1.0,0,3.0,71.0,92.0,10.0,9.0,10.0,10.0,9.0,9.0,89.0
2.0,7,0,37.768734742212594,-122.43397453434874,0,0,6.0,2.0,3.0,3.0,0,3.0,15.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,425.0
1.0,0,5,37.77375949562768,-122.42733531361498,0,0,2.0,1.0,1.0,1.0,0,2.0,73.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,210.0
1.0,2,0,37.77600612631064,-122.44116300471592,0,0,4.0,2.0,3.0,3.0,0,3.0,22.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,275.0
3.0,0,3,37.78292515148304,-122.434271196528,0,1,1.0,1.5,1.0,1.0,0,3.0,67.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0
2.0,31,13,37.71968559102695,-122.45162552743164,0,0,2.0,1.0,1.0,1.0,0,3.0,212.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,125.0
1.0,7,6,37.758541400180015,-122.43684331438988,1,0,5.0,2.5,3.0,2.0,0,7.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,500.0
1.0,15,4,37.77805862088545,-122.39501098469525,0,0,3.0,1.0,1.0,1.0,0,30.0,6.0,96.0,10.0,10.0,8.0,10.0,9.0,10.0,200.0
3.0,2,6,37.76969507823836,-122.4361941530478,1,1,2.0,1.0,1.0,1.0,0,3.0,199.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,142.0
4.0,4,1,37.74993522868837,-122.4145209191014,1,1,3.0,1.0,1.0,2.0,0,1.0,206.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0
2.0,2,0,37.77128368529706,-122.4482286151328,6,0,8.0,2.5,4.0,5.0,0,30.0,93.0,92.0,9.0,9.0,10.0,10.0,9.0,9.0,400.0
2.0,0,3,37.777786804295495,-122.43775449275398,0,1,2.0,1.5,1.0,1.0,2,2.0,276.0,97.0,10.0,9.0,10.0,10.0,10.0,10.0,90.0
1.0,29,17,37.76149705703378,-122.5037349869721,1,0,4.0,1.0,1.0,1.0,0,2.0,149.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0
1.0,4,1,37.754400534358474,-122.41250701086649,6,0,3.0,1.0,1.0,1.0,0,6.0,47.0,91.0,10.0,9.0,10.0,10.0,10.0,9.0,230.0
1.0,5,4,37.76135060335099,-122.39474127114441,0,1,2.0,2.0,1.0,1.0,0,3.0,26.0,95.0,9.0,9.0,10.0,10.0,9.0,9.0,145.0
1.0,0,3,37.78581606917741,-122.44409093765907,0,0,2.0,1.0,1.0,1.0,0,3.0,122.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,200.0
2.0,18,10,37.78369023664511,-122.46975683655569,0,0,2.0,1.0,1.0,1.0,0,5.0,29.0,89.0,9.0,10.0,10.0,10.0,9.0,9.0,125.0
3.0,3,2,37.73403270606703,-122.44662275962608,1,1,1.0,1.0,1.0,1.0,0,30.0,6.0,90.0,9.0,10.0,10.0,9.0,8.0,9.0,60.0
2.0,16,3,37.79005956426415,-122.43236443679208,0,0,2.0,1.0,1.0,1.0,0,30.0,116.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,180.0
1.0,0,0,37.77146487426757,-122.43648272534874,1,0,2.0,1.5,1.0,1.0,0,30.0,10.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,147.0
1.0,4,1,37.750835474194346,-122.42341140070398,3,0,2.0,1.0,1.0,1.0,0,2.0,197.0,93.0,10.0,9.0,10.0,10.0,10.0,9.0,145.0
3.0,15,12,37.777720742647034,-122.40410969492271,12,1,2.0,1.0,1.0,1.0,0,2.0,132.0,98.0,10.0,10.0,10.0,10.0,9.0,9.0,159.0
1.0,26,18,37.796928232843506,-122.43669858736273,6,0,2.0,1.0,1.0,1.0,0,4.0,16.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,200.0
2.0,26,18,37.79917574676911,-122.43883883621746,0,0,2.0,1.0,1.0,0.0,0,30.0,51.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,329.0
2.0,15,4,37.779413519417425,-122.40508271431187,1,1,1.0,1.0,1.0,1.0,0,30.0,43.0,93.0,9.0,9.0,10.0,10.0,9.0,9.0,67.0
1.0,4,6,37.755262578068034,-122.42496642217907,0,0,1.0,1.0,0.0,1.0,0,30.0,41.0,94.0,10.0,9.0,10.0,10.0,10.0,9.0,125.0
2.0,22,2,37.73350752046585,-122.46056613217577,1,1,4.0,1.0,2.0,3.0,0,2.0,164.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,129.0
2.0,25,7,37.752380902130795,-122.45867175972928,1,1,5.0,1.0,1.0,3.0,0,1.0,390.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,77.0
1.0,1,1,37.74727073834074,-122.41516846113136,1,0,6.0,1.5,3.0,4.0,0,5.0,12.0,93.0,9.0,9.0,10.0,10.0,9.0,9.0,250.0
1.0,5,4,37.76243663005218,-122.39459784775751,1,0,6.0,2.0,3.0,3.0,0,2.0,44.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,500.0
1.0,7,6,37.763612516655655,-122.4306292998978,0,0,2.0,1.0,0.0,1.0,0,30.0,197.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,160.0
2.0,7,6,37.764331542197255,-122.4366431993298,0,2,2.0,1.0,1.0,1.0,1,30.0,301.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,75.0
1.0,4,1,37.757256065970736,-122.41253687428906,1,1,2.0,1.0,1.0,1.0,2,2.0,162.0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,110.0
2.0,4,12,37.77009122657853,-122.42341463713312,0,0,2.0,1.0,0.0,1.0,0,30.0,68.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0
1.0,7,6,37.76649880265711,-122.43606305191557,0,0,2.0,1.0,0.0,1.0,0,3.0,282.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,135.0
2.0,22,2,37.73310152906765,-122.4606363469819,1,1,2.0,1.0,1.0,1.0,0,1.0,135.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,129.0
2.0,20,8,37.77523612890901,-122.50913745067112,1,0,2.0,1.0,1.0,1.0,0,2.0,356.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0
3.0,7,6,37.760330233564574,-122.43892745630221,0,1,1.0,1.0,1.0,1.0,0,30.0,16.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
1.0,26,18,37.803753313632534,-122.44672250852335,1,0,2.0,1.0,1.0,1.0,0,3.0,1.0,97.0,10.0,10.0,10.0,10.0,10.0,8.0,431.0
2.0,7,6,37.758668152934106,-122.43454108070331,0,0,2.0,1.0,1.0,1.0,0,30.0,124.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0
2.0,8,7,37.74645481648243,-122.43336237881826,1,0,6.0,2.0,3.0,4.0,0,3.0,79.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,490.0
2.0,7,6,37.764938138236786,-122.43384871779095,0,1,2.0,1.0,1.0,1.0,0,3.0,94.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,150.0
2.0,8,7,37.74703281054805,-122.4349448117207,1,1,3.0,1.0,1.0,2.0,0,3.0,75.0,97.0,10.0,10.0,10.0,10.0,9.0,9.0,274.0
3.0,15,23,37.78614950138326,-122.39359159121055,0,0,6.0,2.0,3.0,3.0,0,4.0,36.0,91.0,9.0,8.0,9.0,9.0,9.0,9.0,390.0
1.0,7,6,37.75836185598897,-122.42736311188331,0,0,3.0,1.0,2.0,2.0,0,3.0,10.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,205.0
4.0,23,15,37.7340369416925,-122.39215480585544,1,1,1.0,1.5,1.0,1.0,0,1.0,14.0,91.0,9.0,9.0,10.0,10.0,8.0,9.0,60.0
2.0,1,1,37.745040696194216,-122.40614059974541,1,0,5.0,1.0,2.0,4.0,0,5.0,44.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,259.0
1.0,7,1,37.761201500612785,-122.4267278881896,0,1,2.0,2.0,1.0,1.0,0,30.0,10.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,130.0
1.0,31,25,37.714545630538026,-122.46732867156081,1,0,2.0,1.0,1.0,2.0,0,1.0,18.0,91.0,10.0,10.0,10.0,10.0,9.0,9.0,81.0
1.0,0,3,37.778950727391006,-122.43633794843065,0,0,5.0,2.0,3.0,3.0,0,3.0,41.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,575.0
3.0,18,10,37.77878323824937,-122.4625652677753,0,0,4.0,1.0,1.0,2.0,0,2.0,129.0,87.0,9.0,9.0,9.0,9.0,9.0,9.0,148.0
2.0,33,13,37.71098633170525,-122.435688417231,3,0,2.0,1.0,1.0,2.0,0,3.0,82.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,88.0
1.0,0,0,37.77041706508181,-122.42855736274922,1,1,3.0,1.5,2.0,2.0,0,2.0,315.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0
68.0,6,5,37.787115926043384,-122.40959561389644,0,0,4.0,1.0,0.0,2.0,0,1.0,101.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0
